kategori,urun_adi,miktar,fiyat,market_adi,resim_linki
Ketçap Mayonez Sos ve Sirkeler,Sos Bbq 400 Gr Tukaş,400 G,"39,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_274276.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Pesto 190 Gr Kühne,190 G,"59,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_483737.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Ranch 310 Gr Çokça,310 G,"34,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1478735.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Amerikan Burger 230 Gr Heinz+1 Market,230 G,"38,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_208769.jpg
Ketçap Mayonez Sos ve Sirkeler,Makarna Sos Pesto 190 Gr Berona,190 G,"74,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1955953.jpg
Ketçap Mayonez Sos ve Sirkeler,Sos Barbekü 350 Gr Çokça,350 G,"34,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1168065.jpg
Ketçap Mayonez Sos ve Sirkeler,Barilla Napoletana 400 Gr,400 G,"144,00",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_258818.jpg
Ketçap Mayonez Sos ve Sirkeler,Calve Bbq Sos 290 Gr,290 G,"59,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_83503.jpg
Ketçap Mayonez Sos ve Sirkeler,Soya Sosu 250 Ml Pet Bizim Vatan,250 Ml,"34,90",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1194478.jpg
Tuz Baharat ve Harçlar,Tuz Himalaya Değ.kapak 110 Gr Sera,110 G,"29,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_274276.jpg
Tuz Baharat ve Harçlar,Deva Zerdaçal 60 Gr,60 G,"40,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_483737.jpg
Tuz Baharat ve Harçlar,Çeşni Patates&kajun&sarımsaklı 60-70g,70g,"22,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1980333.jpg
Tuz Baharat ve Harçlar,Köfte & Pane Harcı 90 Gr Green Life,90 G,"12,50",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1171051.jpg
Tuz Baharat ve Harçlar,Sumak 100 Gr Sanitta,100 G,"21,75",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1979731.jpg
Tuz Baharat ve Harçlar,Deva Tarçın 40 Gr,40 G,"35,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1434897.jpg
Tuz Baharat ve Harçlar,Migros Tarçın 75 G,75 G,"24,75",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1907971.jpg
Tuz Baharat ve Harçlar,Deva Kuru Nane 25 Gr,25 G,"24,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_448601.jpg
Tuz Baharat ve Harçlar,Deva Pul Biber 200 Gr,200 G,"114,95",MarketFiyati.org.tr,https://cdn2.a101.com.tr/dbmk89vnr/CALL/Image/get/67CMGBKD8c_500x500.png
Tuz Baharat ve Harçlar,Deva Hindistan Cevizi 45 Gr,45 G,"42,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1129533.jpg
Tuz Baharat ve Harçlar,Deva Kırmızı Toz Tatlı Biber 65 Gr,65 G,"49,95",MarketFiyati.org.tr,https://cdn.cimri.io/market/500x500/-_1042827.jpg
